 ,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
88,HG13B,546.978,90.972,74.329,12.165,255,1931.416,648.505,0,0,425.509,1930.135,435.754,3.845,426.783,0,0,-89.655,0.038,425.509,49759.574,67.713,0,0,0,30293.629,1,1506,340,90.345,0,0,0,NaN,425.509
89,HG13B,1514.455,170.615,73.789,22.235,255,1523.858,1494.381,0,0,1179.76,935.59,1450.805,1177.818,88.432,0,0,4.236,0.014,1179.76,258388.071,181.782,0,0,0,157306.658,1,730,1200,4.236,0,0,0,NaN,1179.76
90,HG13B,668.528,183.398,87.346,0,255,2567.105,1713.539,0,0,520.802,2514.558,1458.495,106.375,511.37,0,0,-78.358,0.031,520.802,122606.487,242.364,0,0,0,74642.829,1,1962,1138,101.642,1.42E-14,0,0,NaN,520.802
91,HG13B,653.745,69.562,39.869,27.265,227.341,267.861,799.737,0,0,508.644,51.265,666.448,434.473,267.861,0,0,-31.608,0.032,508.644,45475.92,56.391,0,0,0,27685.74,1,40,520,148.392,0,0,0,NaN,508.644
92,HG13B,436.925,206.862,49.86,44.667,254.9,2039.073,517.779,0,0,339.058,1922.445,394.742,234.538,247.355,0,0,-46.532,0.048,339.058,90383.149,224.232,0,0,0,55025.261,1,1500,308,133.468,0,0,0,NaN,339.058
93,HG13B,565.046,164.076,70.54,51.922,254.735,2246.697,75.616,0,0,439.762,2035.229,15.38,424.22,121.755,0,0,-15.9,0.037,439.762,92710.633,161.999,0,0,0,56442.233,1,1588,12,164.1,0,0,0,NaN,439.762
94,HG13B,323.587,151.333,54.778,63.211,240.852,2346.665,1864.772,0,0,250.964,2276.175,1760.96,142.261,208.906,0,0,-124.177,0.065,250.964,48969.371,160.353,0,0,0,29812.553,1,1776,1536,55.823,1.42E-14,0,0,NaN,250.964
95,HG13B,1332.129,151.968,79.651,26.183,254.298,2406.901,1485.409,0,0,1038.335,2204.404,1007.361,406.277,957.378,0,0,-67.043,0.016,1038.335,202440.622,172.077,0,0,0,123245.851,1,1720,786,112.957,0,0,0,NaN,1038.335
96,HG13B,95.269,217.372,29.772,125.286,250.481,1227.802,1840.421,0,0,72.5,1222.675,1804.535,11.535,73.053,0,0,-98.13,0.228,72.5,20708.918,227.516,0,0,0,12607.589,1,954,1464,81.87,0,0,0,NaN,72.5
97,HG13B,126.478,227.889,54.234,45,254.027,1552.054,1511.042,0,0,97.606,1532.83,1466.185,39.731,90.996,0,0,-113.199,0.167,97.606,28822.998,250.841,0,0,0,17547.441,1,1196,1214,66.801,0,0,0,NaN,97.606
98,HG13B,77.201,148.4,72.308,47.333,250.582,1167.565,1851.955,0,0,59.011,1143.214,1835.294,49.984,34.604,0,0,-34.38,0.279,59.011,11456.626,129.667,0,0,0,6974.794,1,892,1432,145.62,0,0,0,NaN,59.011
99,HG13B,113.338,97.042,23.296,48.667,150,1481.564,398.587,0,0,87.489,1458.495,361.42,47.42,75.616,0,0,-58.173,0.186,87.489,10998.536,95.67,0,0,0,6695.909,1,1138,282,121.827,0,0,0,NaN,87.489
100,HG13B,93.627,198.25,60.973,54.512,253.388,1604.601,603.648,0,0,72.182,1594.348,569.044,21.788,70.49,0,0,-106.504,0.226,72.182,18561.478,223.196,0,0,0,11300.228,1,1244,498,73.496,0,0,0,NaN,72.182
