 ,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
59,HG13E,177.293,111.319,24.077,65.593,167.84,1298.317,168.348,0,0,137.266,1252.404,117.333,93.101,103.304,0,0,-48.013,0.118,137.266,19736.105,106.239,0,0,0,12133.757,1,982,92,131.987,0,0,0,NaN,137.266
60,HG13E,177.293,111.319,24.077,65.593,167.84,1298.317,168.348,0,0,137.266,1252.404,117.333,93.101,103.304,0,0,-48.013,0.118,137.266,19736.105,106.239,0,0,0,12133.757,1,982,92,131.987,0,0,0,NaN,137.266
61,HG13E,177.293,111.319,24.077,65.593,167.84,1298.317,168.348,0,0,137.266,1252.404,117.333,93.101,103.304,0,0,-48.013,0.118,137.266,19736.105,106.239,0,0,0,12133.757,1,982,92,131.987,0,0,0,NaN,137.266
62,HG13E,177.293,111.319,24.077,65.593,167.84,1298.317,168.348,0,0,137.266,1252.404,117.333,93.101,103.304,0,0,-48.013,0.118,137.266,19736.105,106.239,0,0,0,12133.757,1,982,92,131.987,0,0,0,NaN,137.266
63,HG13E,177.293,111.319,24.077,65.593,167.84,1298.317,168.348,0,0,137.266,1252.404,117.333,93.101,103.304,0,0,-48.013,0.118,137.266,19736.105,106.239,0,0,0,12133.757,1,982,92,131.987,0,0,0,NaN,137.266
64,HG13E,177.293,111.319,24.077,65.593,167.84,1298.317,168.348,0,0,137.266,1252.404,117.333,93.101,103.304,0,0,-48.013,0.118,137.266,19736.105,106.239,0,0,0,12133.757,1,982,92,131.987,0,0,0,NaN,137.266
65,HG13E,177.293,111.319,24.077,65.593,167.84,1298.317,168.348,0,0,137.266,1252.404,117.333,93.101,103.304,0,0,-48.013,0.118,137.266,19736.105,106.239,0,0,0,12133.757,1,982,92,131.987,0,0,0,NaN,137.266
66,HG13E,177.293,111.319,24.077,65.593,167.84,1298.317,168.348,0,0,137.266,1252.404,117.333,93.101,103.304,0,0,-48.013,0.118,137.266,19736.105,106.239,0,0,0,12133.757,1,982,92,131.987,0,0,0,NaN,137.266
67,HG13E,644.112,243.734,26.467,82.333,255,241.043,859.593,0,0,503.759,104.58,647.883,274.203,424.695,0,0,-57.195,0.032,503.759,156992.251,253.902,0,0,0,96518.836,1,82,508,122.805,0,0,0,NaN,503.759
68,HG13E,333.442,249.469,13.257,167.104,255,371.13,892.753,0,0,260.686,293.333,788.173,156.869,210.435,0,0,-53.354,0.062,260.686,83183.484,254.073,0,0,0,51141.206,1,230,618,126.646,0,0,0,NaN,260.686
69,HG13E,442.42,195.618,77.078,18.86,255,431.072,769.043,0,0,345.065,316.289,640.231,230.84,258.898,0,0,-48.296,0.047,345.065,86545.23,243.83,0,0,0,53208.007,1,248,502,131.704,0,0,0,NaN,345.065
70,HG13E,435.914,208.176,58.105,57.595,255,190.029,1156.752,0,0,340.404,99.478,1012.636,182.377,289.507,0,0,-57.858,0.047,340.404,90747.003,238.187,0,0,0,55791.257,1,78,794,122.142,0,0,0,NaN,340.404
71,HG13E,564.411,165.119,86.663,15.015,254.741,609.622,1525.332,0,0,441.71,556.057,1311.071,108.406,429.797,0,0,-75.964,0.036,441.71,93195.261,198.55,0,0,0,57296.446,1,436,1028,104.036,0,0,0,NaN,441.71
72,HG13E,383.865,137.737,58.123,21.233,251.399,803.477,1330.201,0,0,299.262,755.014,1188.636,98.203,284.405,0,0,-108.898,0.054,299.262,52872.494,138.943,0,0,0,32506.009,1,592,1154,71.102,0,0,0,NaN,299.262
73,HG13E,455.433,80.682,34.423,14.259,158.972,1070.028,983.303,0,0,356.171,1035.593,808.579,70.145,350.724,0,0,-101.149,0.045,356.171,36745.069,84.301,0,0,0,22590.868,1,812,908,78.851,0,0,0,NaN,356.171
74,HG13E,292.778,124.67,83.876,28.111,254.92,1532.984,789.448,0,0,228.614,1466.665,696.347,133.913,187.478,0,0,-125.463,0.07,228.614,36500.776,86.018,0,0,0,22440.677,1,1150,692,54.537,0,0,0,NaN,228.614
75,HG13E,341.574,166.207,76.739,19.477,254.377,1737.041,1089.158,0,0,266.303,1612.056,1043.245,251.246,93.101,0,0,20.171,0.061,266.303,56772.105,185.503,0,0,0,34903.49,1,1264,890,20.171,0,0,0,NaN,266.303
76,HG13E,159.401,128.409,64.755,14.333,238.513,1853.099,922.086,0,0,123.124,1813.563,874.898,80.348,95.652,0,0,50.042,0.132,123.124,20468.501,129.278,0,0,0,12584.034,1,1422,760,50.042,0,0,0,NaN,123.124
77,HG13E,135.003,204.524,64.653,58.868,255,2161.737,505.043,0,0,104.704,2132.403,461.681,59.942,88,0,0,55.923,0.155,104.704,27611.339,239.592,0,0,0,16975.451,1,1672,430,55.923,0,0,0,NaN,104.704
78,HG13E,242.355,141.479,44.502,56.484,234.626,2259.939,264,0,0,189.39,2193.621,196.406,133.913,136.464,0,0,-45.546,0.085,189.39,34288.223,142.417,0,0,0,21080.399,1,1720,154,134.454,0,0,0,NaN,189.39
79,HG13E,352.96,213.558,42.791,105.872,254.827,2354.316,664.463,0,0,275.962,2257.389,566.26,195.13,197.681,0,0,45.374,0.058,275.962,75377.547,233.37,0,0,0,46342.116,1,1770,598,45.374,0,0,0,NaN,275.962
