 ,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
53,HG13E,847.43,142.401,46.58,45.887,252.041,715.477,1434.781,0,0,663.04,558.608,1142.723,315.014,585.391,0,0,-118.241,0.024,663.04,120675.3,139.801,0,0,0,74191.175,1,438,1354,61.759,0,0,0,NaN,663.04
54,HG13E,442.42,149.224,41.627,64.3,232.368,976.926,1348.056,0,0,346.119,826.434,1262.607,302.261,172.174,0,0,29.588,0.046,346.119,66019.812,150.903,0,0,0,40588.98,1,648,1124,29.588,0,0,0,NaN,346.119
55,HG13E,139.883,68.349,12.778,48.985,104,237.217,1868.404,0,0,108.248,206.608,1823.766,62.493,90.551,0,0,-124.439,0.15,108.248,9560.806,64.953,0,0,0,5877.983,1,162,1500,55.561,0,0,0,NaN,108.248
56,HG13E,746.584,63.064,13.398,42.558,102.631,1177.158,1869.679,0,0,584.739,887.651,1828.867,580.289,82.898,0,0,8.024,0.027,584.739,47082.382,59.533,0,0,0,28946.248,1,696,1498,8.024,0,0,0,NaN,584.739
57,HG13E,701.041,53.91,8.136,36.561,79.816,1334.027,1532.984,0,0,548.352,1275.361,1265.158,118.609,536.927,0,0,-102.355,0.029,548.352,37792.801,52.785,0,0,0,23235.014,1,1000,1412,77.645,1.42E-14,0,0,NaN,548.352
58,HG13E,188.679,99.182,31.048,51.127,189.667,1180.984,1531.708,0,0,146.55,1142.723,1469.216,77.797,126.261,0,0,-58.523,0.11,146.55,18713.491,92.64,0,0,0,11505.054,1,896,1152,121.477,0,0,0,NaN,146.55
59,HG13E,372.479,112.301,39.386,48.72,198.995,1495.998,1758.723,0,0,290.402,1405.448,1645.215,182.377,228.29,0,0,-51.419,0.056,290.402,41829.902,102.87,0,0,0,25717.024,1,1102,1290,128.581,0,0,0,NaN,290.402
60,HG13E,239.102,148.784,37.773,83.498,223.58,1571.245,1785.505,0,0,186.813,1517.679,1708.983,108.406,154.319,0,0,-55.008,0.086,186.813,35574.459,152.037,0,0,0,21871.178,1,1190,1340,124.992,0,0,0,NaN,186.813
61,HG13E,461.939,68.109,14.821,33.474,102.078,2254.838,1539.361,0,0,361.312,2208.925,1364.636,93.101,350.724,0,0,-75.277,0.044,361.312,31462.313,69.779,0,0,0,19343.03,1,1732,1070,104.723,0,0,0,NaN,361.312
62,HG13E,165.908,68.332,15.075,51.168,109.595,2236.983,1272.81,0,0,129.158,2173.215,1262.607,128.811,21.681,0,0,-9.09,0.125,129.158,11336.831,65.723,0,0,0,6969.884,1,1704,990,170.91,3.55E-15,0,0,NaN,129.158
63,HG13E,102.472,50.695,8.2,38.43,72.559,2240.809,1200.115,0,0,79.114,2239.534,1160.578,3.826,80.348,0,0,-88.152,0.206,79.114,5194.836,49.28,0,0,0,3193.785,1,1756,910,91.848,0,0,0,NaN,79.114
64,HG13E,323.682,48.648,9.866,30.084,72.718,1613.331,1332.752,0,0,252.534,1522.781,1244.752,182.377,177.275,0,0,44.182,0.064,252.534,15746.468,46.753,0,0,0,9680.929,1,1194,1114,44.182,1.42E-14,0,0,NaN,252.534
65,HG13E,174.04,85.284,16.825,56.314,130.667,2091.592,1026.665,0,0,135.284,2089.041,959.071,6.377,136.464,0,0,-87.839,0.119,135.284,14842.91,85.635,0,0,0,9125.421,1,1638,752,92.161,0,0,0,NaN,135.284
